"Placebo","Conventional","Diuretic","Beta-Blocker","ACE-inhibitor","Diuretic/Beta-block","CCB","Alpha-blocker","ARB"
0.019790100753376,-0.913919648018389,-0.131689086358023,-0.0230860870835305,-0.15317560548121,-0.297003941160481,-0.175614611710374,-0.175361037589056,-0.147700850717632
-0.0180110796680588,-0.439751847416335,-0.149342526265834,-0.029626670980171,-0.141285001397427,-0.298239947710455,-0.136720344191036,-0.0927865739910381,-0.144232016480632
-0.0305912428059215,0.335581799755036,-0.141187183463615,-0.0269109132693511,-0.172741995558226,-0.137170044706506,-0.160981665176671,-0.0276124552829423,-0.0937592714454037
0.00221040363236931,0.304215264593719,-0.0994869740133199,-0.0443421586331761,-0.130705708516545,-0.206232801676187,-0.155665829779366,-0.11468368029737,-0.112647637114147
0.0225615248634907,-0.781224877703085,-0.122797825835486,-0.0585029795170866,-0.16640925824244,-0.164779358550304,-0.184376873321822,-0.108412815579838,-0.179291352351794
0.0539103833872469,0.351145043382908,-0.142685769852718,0.0192190899825297,-0.123690069054821,-0.24296790167969,-0.165733955255032,-0.170844530265013,-0.136500146150174
-0.0245122023608293,-0.314908854592206,-0.159612483940961,-0.0650130301222761,-0.131580618653011,-0.236110150654653,-0.164524816930804,-0.115445728437546,-0.158117804396438
-0.0110701893148493,-1.37624533972479,-0.140051583923403,-0.105158386574867,-0.104100285365286,-0.23628141837431,-0.159113617342394,-0.0976764386725987,-0.151306699200468
0.0512067567712284,-0.749626937529978,-0.125514951395102,-0.0657879296888379,-0.0778886448109038,-0.168403990267981,-0.168296237309911,-0.0842713786961202,-0.190027670757782
0.0573611857738725,-0.967450192211887,-0.166117165349145,-0.0216744554116058,-0.112288075326467,-0.196453627364586,-0.176084728736713,-0.0645613603002317,-0.0709636890640037
-0.0744525135586828,0.889098431959204,-0.14415513647016,0.0279187351250947,-0.184403411322907,-0.206469115411524,-0.179793271753083,-0.148627563417466,-0.187416929437145
0.0140436600975804,0.70738759507547,-0.144539990345716,-0.0299304319400346,-0.16517912610866,-0.156035495870083,-0.151387269465125,-0.202817547894459,-0.102092603097813
