"Diuretic","ACE inhibitor","ARB","blocker","CCB","Placebo"
0,-0.361033177713318,-0.475337057222003,-0.0247776352310538,-0.281238524234825,-0.239839486371255
0,-0.295154666663159,-0.566919861478545,0.00383993089450477,-0.215817347753708,-0.212136522043993
0,-0.326562789943132,-0.719062180023157,-0.019273435755991,-0.266252882934603,-0.221712005525011
0,-0.37795048638246,-0.507193049692827,-0.111656817068972,-0.289619613054704,-0.173322431411936
0,-0.510653008910143,-0.674366349370166,-0.158980746954833,-0.342521193670431,-0.353469292961313
0,-0.449038175077922,-0.599886314034675,-0.19297246729943,-0.352437570894219,-0.267430986564616
0,-0.499308391121601,-0.546895058216574,-0.147250620925886,-0.290334064762794,-0.242042810874685
0,-0.38195726820928,-0.512445307065298,-0.142731973612714,-0.299043650133412,-0.23345500187372
0,-0.401568655399405,-0.498659500418144,-0.146299512696568,-0.319671808918991,-0.266320497660176
0,-0.393123306888884,-0.527730768256365,-0.152530559053211,-0.331507943290322,-0.267436598123759
0,-0.393269286132528,-0.505418612221807,-0.118117657364827,-0.318861924481743,-0.280478061616513
0,-0.389959987454188,-0.510667463069712,-0.126908665294704,-0.314805777792703,-0.292232083637881
0,-0.401821159554437,-0.504323799819707,-0.141419730657759,-0.331340803752602,-0.287022116984711
0,-0.343308025886148,-0.505638623296052,-0.121991939231947,-0.31696591053706,-0.321541670555601
0,-0.394383030572602,-0.502846313334599,-0.132757058743363,-0.317163319940058,-0.326285615775998
0,-0.425606489521658,-0.495950660347793,-0.169845010515002,-0.302084391364508,-0.334224760699421
0,-0.426018409976536,-0.462820188810043,-0.165605309627324,-0.303029714737829,-0.276831699069053
0,-0.442569845991503,-0.404099738225256,-0.0126443716797867,-0.209360548643448,-0.244694575101081
0,-0.424928825310405,-0.43151556531036,0.0561200355341052,-0.165890121544083,-0.20557471775332
0,-0.448507048606914,-0.46819566873597,-0.0413783871160862,-0.199708230743034,-0.304045166092455
0,-0.456193482740925,-0.420518098153804,-0.0374806588373069,-0.263871996075477,-0.283896401689133
0,-0.366530800466198,-0.394857385642126,-0.0993271746635407,-0.259080495486614,-0.189009821679337
0,-0.432512116741619,-0.397806487572347,-0.155462450800375,-0.29054008267583,-0.271623271307701
0,-0.405491701555381,-0.48644251892166,-0.0434274763291725,-0.296141327094071,-0.324921448590705
0,-0.444111822072491,-0.503687005587891,-0.0661705047993449,-0.188179975844532,-0.312790324512081
0,-0.43297687016985,-0.44967534730216,-0.0466877796391043,-0.199583424097378,-0.349449675445271
0,-0.439955582190664,-0.47575520546574,-0.0122753328326217,-0.249793212188083,-0.240555801554066
0,-0.39346691211828,-0.475584909996631,-0.0429158208418169,-0.251523132914839,-0.310365887471721
0,-0.411663424232973,-0.383173740515386,-0.0272196497997418,-0.255798088779219,-0.276897552581882
0,-0.482213356493919,-0.387807852417328,-0.0712963929357773,-0.265021130673363,-0.376618134937473
0,-0.515389341757003,-0.444746331033641,-0.141586472267564,-0.313673099977386,-0.388453164854541
0,-0.442608999943615,-0.443661920554595,-0.143511547768604,-0.27983025796969,-0.304428132004585
0,-0.435877805648845,-0.509426257808256,-0.137254002200633,-0.343614562637504,-0.27600297304649
0,-0.447508637499289,-0.455845804817268,-0.184386862491487,-0.386398549129736,-0.251487559859301
0,-0.527347104354194,-0.658530821366539,-0.202580599323916,-0.364236019525708,-0.438339224760403
