"Placebo","Budesonide","Budesonide+Formoterol","Fluticasone","Fluticasone+Salmeterol","Formoterol","Salmeterol","Tiotropium"
0,-0.406089517029779,-0.505211537438677,-0.149749030189898,-0.319865902231654,-0.0232273496022161,-0.294887409451015,-0.463787152475933
0,-0.38802176126106,-0.521177923382,-0.148841250939333,-0.312705408776137,-0.0114144013305054,-0.292135210611957,-0.453363413613624
0,-0.383860199905451,-0.518205046278382,-0.143022265212714,-0.303590477194762,-0.0140871859408412,-0.288034177477645,-0.462322431895507
0,-0.37726499124251,-0.496648092410274,-0.148810436382542,-0.304131290679103,-0.0208128832860603,-0.277731350100769,-0.464924472873943
0,-0.388045398730052,-0.501586181118696,-0.161450279713714,-0.294956234341318,-0.027631552814818,-0.276848570583324,-0.469452427237362
0,-0.37461090245328,-0.508690227635359,-0.159166652953554,-0.293671526907349,-0.0246562464750628,-0.278278684614821,-0.471830870248199
0,-0.385387485649922,-0.518410985405869,-0.160557270884258,-0.301233535850529,-0.0300029069595985,-0.271400360864678,-0.474142035284769
0,-0.378137705604864,-0.516485357282545,-0.16247424264326,-0.299413340644794,-0.0412126310157776,-0.26516548693736,-0.473964565542088
0,-0.38270983302943,-0.505511006447627,-0.167338000325573,-0.298309706088172,-0.0394119073697874,-0.263621762062408,-0.475520856413675
0,-0.369850639983198,-0.501859463205693,-0.158051662736849,-0.303250712243492,-0.027835598817329,-0.258813167711413,-0.479421071684974
0,-0.364879650236722,-0.513291835482924,-0.156234600600704,-0.298177753661147,-0.0303236496832484,-0.258654162685623,-0.474458454749105
0,-0.380899209341383,-0.516743855883788,-0.158479120442343,-0.284686620645777,-0.0309501366295438,-0.256678075738442,-0.478071075822197
0,-0.368348088239832,-0.49987364960299,-0.163421125466919,-0.2853765969099,-0.0354094590790222,-0.25700494375349,-0.471878360465715
0,-0.370647405375611,-0.506975559519509,-0.170179643331595,-0.280158030520691,-0.026677458574984,-0.258714111895264,-0.46729129613182
0,-0.358340852710419,-0.503755820147992,-0.168331452975728,-0.275212256344513,-0.0379088094613046,-0.260152166816414,-0.463204855966502
0,-0.332228191503259,-0.508402317277237,-0.165341516164786,-0.277890568546833,-0.0424065349557654,-0.262404798066755,-0.471613672939213
0,-0.358450763954991,-0.489808370938956,-0.177159016372201,-0.27723805501674,-0.0440345303577384,-0.258435706011351,-0.46848372608347
0,-0.335322963170595,-0.53691129241182,-0.176426214667868,-0.27807034609093,-0.04498253343398,-0.265561501050956,-0.459657951978499
0,-0.356342519026082,-0.540173927184811,-0.196465006278086,-0.280160369443914,-0.0576769565367021,-0.260418038749506,-0.463915884255894
0,-0.392427621942823,-0.540398135163984,-0.204678867457687,-0.28188145708828,-0.0737196766779384,-0.269233612810498,-0.480994191990831
0,-0.410191339179336,-0.564661867420047,-0.184988047271879,-0.303058798279725,-0.051548790518039,-0.243295538964935,-0.497875623805642
0,-0.385550508595549,-0.558781516114613,-0.211032518662415,-0.281682119151514,-0.0718268864219498,-0.238169942872539,-0.492569402023923
0,-0.360949871208297,-0.494601549129322,-0.183714310856628,-0.27372698939026,-0.0855127358289774,-0.231853212269778,-0.499667070001339
0,-0.409144550854266,-0.562417051013005,-0.18205600016335,-0.281117376603665,-0.0796699568629669,-0.228389719919153,-0.496730562305006
0,-0.418286053819008,-0.529610530580409,-0.235973218644161,-0.281944574385392,-0.0535680583077166,-0.236430389479617,-0.51317738027877
0,-0.301898003457066,-0.533236366053901,-0.258797301823694,-0.295722505167662,-0.0593162254146759,-0.251248094954896,-0.494076998442064
0,-0.255691780073118,-0.548000212926437,-0.242091627939163,-0.288508582106326,-0.0622104528303221,-0.268639213220516,-0.518959643144923
0,-0.240897704198872,-0.553722721113766,-0.237538816322841,-0.328140970557483,-0.0444639722767117,-0.266734226836852,-0.528868382899498
0,-0.221065655320736,-0.551292907435307,-0.226904618290884,-0.331109954627773,-0.0441205651024432,-0.273325499961605,-0.496460309526801
0,-0.208624165772438,-0.494914954635663,-0.205929034059292,-0.345651936407242,-0.0312247071934818,-0.279610116691434,-0.495123920842667
0,-0.227080662365139,-0.399948872486632,-0.24685126270481,-0.367645361690989,-0.046922903640134,-0.286525704519183,-0.484243133764252
0,-0.188996014246278,-0.414501858695144,-0.223620349941716,-0.338155147530514,-0.0584835806622017,-0.2661960959235,-0.447817761072458
0,-0.315847558011749,-0.546517030503239,-0.202313672735249,-0.368723536281017,-0.0196848604694066,-0.294338991291951,-0.4182658364759
0,-0.331870942246294,-0.415168350314743,-0.190664187489867,-0.314460716739155,-0.0193243515286145,-0.2432181243234,-0.397219317488855
0,-0.424470291710203,-0.283341449993922,-0.165987582898651,-0.349493837504137,-0.0410684491937725,-0.306019662547038,-0.367205886845831
0,-0.514764193951171,-0.385774495432686,-0.119675421080045,-0.320822801201742,-0.03049544311775,-0.225650258054351,-0.333746435754457
0,-0.423951723247977,-0.313026378198973,-0.177669482758335,-0.28856204508304,0.0164421846424433,-0.232271695984166,-0.361077257863131
0,-0.503467230495021,-0.401457582571726,-0.229664596811562,-0.375511435090949,-0.0571266939484329,-0.290599473117764,-0.364163607305679
0,-0.415110625949937,-0.294261265095189,-0.200601857457384,-0.282878176870404,-0.0854751263468274,-0.191252292120019,-0.363979259022022
0,-0.446480126075365,-0.518441780214941,-0.249526013051119,-0.323258539805435,-0.187110044267022,-0.205742853840203,-0.341120640504958
0,-0.614301501279165,-0.654585986849069,-0.213587597605306,-0.290137142726305,-0.263984980294441,-0.265960897827486,-0.343719303190169
0,-0.22535450993303,-0.718144877654789,-0.192422459131278,-0.278100832858069,-0.168330992441425,-0.241035177604441,-0.360589434146078
0,-0.358062179050266,-0.803913165140559,-0.106243109522357,-0.100097071848315,-0.203471684737533,-0.135886772184966,-0.225571070511702
0,-0.118871127145394,-0.303341833545066,-0.150211080001749,-0.197243457840715,-0.048045115227024,-0.17882484283932,-0.221330009292248
