"SK","ASPAC","AtPA","Ret","SKtPA","Ten","tPA","UK"
0,0.13072230179491,-0.182497450771856,-0.0842527031925837,0.41774887672612,-0.212276718343679,-0.0990015135682008,-0.449846271490303
0,0.0100161080997694,-0.290102765725562,-0.302311868422408,-0.0960460969670688,-0.622896123063759,-0.128779066742632,-0.588713594854197
0,0.207859286128648,-0.443687923924374,-0.292028444382921,-0.414226374241429,-0.546056681785105,-0.040315412938903,-0.497502784560974
0,0.185934652745571,-0.414625476262282,-0.411137643301651,-0.208814038755928,-0.588202211015861,0.0470209396017083,-0.558461002779484
0,0.104104635344202,-0.15793480702564,-0.0401733001435312,-0.0165333145338827,-0.110986337186574,0.0338781693579323,-0.493108043565343
0,0.116274368244808,-0.269412834340524,-0.0913183892645296,-0.0639924091620824,-0.248523671043563,0.153158611469814,-0.444997585260348
0,0.122244123746981,-0.237982393355439,-0.341783264540636,-0.351946689931474,-0.434836245147515,0.246463171283462,-0.142738930169786
0,0.173688079619833,-0.11180291764826,0.0325494979711369,-0.00544917915857093,0.157341637828681,0.260808935425498,-0.13418569932239
0,-0.339175321066345,-0.364236033776927,-0.336841213290484,-0.388739271466175,-0.448199956002274,-0.238140360411258,0.0492312089553522
0,-0.0495899075902457,-0.620617838974867,0.0254078986384771,-0.61839220462745,-0.417118451114951,-0.450202061698471,0.0674186426478673
0,-0.0937315277040682,-0.684734759342875,-0.296448550852918,-0.0718910220135461,-0.816892298986329,-0.20638961177935,-0.00559147670656176
0,-0.105453958844665,-0.265123636502584,-0.226505718455761,-0.0320986545640331,-0.24904379866199,-0.272994016338501,-0.0786075105677062
0,0.0247069530217813,-0.224329995035282,-0.0769531957260179,0.07497995675726,-0.48793881629661,-0.341617818077324,-0.415571588093383
0,0.0118198867940649,-0.34380290324136,-0.41158366017926,-0.271644457217818,-0.40250350957863,-0.156089650492725,-0.271457532144072
0,-0.105246577760315,-0.271239399021326,-0.334797576835994,0.0346483296225291,0.154128331012608,-0.0844943038457407,-0.365489803411386
0,-0.0467361735693598,-0.123355496719702,-0.156992440244488,0.0858455160787852,-0.659756190381942,-0.118457970724843,-0.326659244871844
0,-0.160310930350618,-0.411699390212885,-0.254948520469264,0.116924075836634,-0.016806079215911,-0.132572430056885,-0.256593960220379
0,-0.0526922635252604,-0.0599361964608084,0.355923539634672,-0.446238213777132,-0.588768527692739,-0.0110764995463185,-0.49951727973609
0,0.210116567980182,-0.0274865776164388,-0.315783472023418,0.270363609857352,-0.292439505041739,0.0638849603569754,-0.292178249664057
0,0.340045730360722,-0.29029476977647,-0.0879466066138612,-0.22044829910092,-0.411992648888872,-0.00288163303961205,-0.69695045662312
0,-0.0212917076252259,-0.36236737080896,-0.277748423271078,-0.0685786722606204,0.182749651411994,-0.114900344162919,-0.278877498917911
0,0.058286731188396,-0.173446513368113,-0.44790355207965,-0.534800423692109,-0.344180684836764,-0.0437872068329593,-0.473651302305112
0,-0.298997672280201,-0.48674258880402,-0.335828487957485,0.313536229046234,-0.791977137783469,0.0311678440616503,0.0478669986741818
0,-0.0381787392113895,-0.478330636844153,-0.793078969950147,0.308729755645375,-0.159156107335593,-0.122540115821335,-0.328280082042325
0,0.100071995682352,-0.0751763440863667,-0.206123477747296,-0.195704494525038,-0.409605061588664,-0.0800163752106774,-0.271500178232322
0,0.166568569913599,-0.112700392252206,0.116056354722805,-0.248621677082253,-0.11915278530634,-0.00501128098574453,-0.187597737617661
0,0.0904629291565248,-0.0737152347301054,0.0139522391772846,0.213865994309596,-0.176742615372814,-0.0662216275144613,0.00419151460479589
0,0.0497585676177329,-0.0127965475429132,0.0835283020331976,0.0888713568297993,0.120096412987292,-0.0277246343856973,0.0322173942715253
0,-0.149475822995769,-0.0724205829334612,-0.0384649669213568,-0.11293163400045,0.0685731961359799,-0.0853355293080233,0.0531295921858423
0,-0.00491029438571597,-0.244873274062928,-0.127553843924041,0.0859983387950044,-0.115590031774448,-0.0222046011300862,0.279804375331766
0,0.02405434483166,-0.297799315370233,-0.295451602243312,0.0923589197651047,-0.140906703402047,0.047293079882468,0.20034251527133
0,0.0780707974481367,-0.286917606923835,-0.294306194984806,-0.0899860612683516,-0.234306256514628,0.0138186125174876,-0.13046446177266
0,-0.0103369412998691,-0.263774435484209,-0.176933940592991,-0.130155159126505,-0.227452432417166,-0.020766598585108,-0.0672948054569183
0,0.02834928999669,-0.256762564144747,-0.201642965867465,-0.166224475591182,-0.256654263639882,-0.00926741997951868,-0.147013195002663
0,0.052476144275328,-0.248964569914705,-0.22983647738107,-0.204730401246045,-0.154667106185494,-0.0109131221850809,-0.121476724731834
0,0.0377491645979503,-0.264982284545243,-0.192463706809258,-0.0466178421101658,-0.297271761184479,-0.000910402894225179,-0.141539101384845
0,0.00625228162270574,-0.25861494378648,-0.134960963961996,-0.133196881212596,-0.219843198233094,-0.0776629342213358,-0.164649634305435
0,-0.00633250097763846,-0.241088761464522,-0.103571966483941,-0.146722640358876,-0.310084185099572,-0.132550734896846,-0.175730330484424
0,0.0200488709814436,-0.274115455572083,-0.108690017269263,-0.117499522339511,-0.269462253488595,-0.101050326066341,-0.104021419581559
0,-0.0523198702093011,-0.182719611040381,-0.0654317528015143,0.000490686056540235,-0.204386796970697,-0.167591598475543,-0.218085740082919
0,-0.00780498998780691,-0.200227317871425,-0.166231433185938,-0.0659616408915782,-0.199896251855276,-0.149821966475061,-0.302708928329093
0,0.0597260206121509,-0.0618435607954515,-0.221893400570948,0.123776570320944,-0.261071865050113,-0.138572815096928,-0.242104599907492
0,0.0335673057098813,-0.145986650274714,0.0260325043488607,-0.15677083850552,-0.228185562671827,-0.120489235123319,-0.198308420431137
0,-0.0144723450456966,-0.241806815276249,0.0194825645585253,0.170745748250466,-0.138681616626556,-0.156900560327457,-0.283249771556082
0,-0.142241459579925,-0.245956738675344,-0.295932233742745,0.178433163746859,-0.477012167489417,-0.24952140796903,-0.131260394721492
0,-0.0290280055668812,-0.203387061443355,-0.239542569158002,0.101139384883653,-0.241556903383442,-0.136867077511099,-0.439294155327144
0,-0.217619809919874,-0.15252518956653,-0.308496131372967,0.043252900483981,-0.03363956802635,-0.156712307225303,-0.249352365957649
0,-0.171356351682708,-0.149516929079193,-0.285508040422583,0.17670410774142,-0.00274728652877387,-0.0373746260526546,-0.471087915838125
0,-0.0836035877244363,-0.503241662471682,-0.24737250745385,0.0132422829540062,-0.45492535657153,0.0429405499793008,-0.500132153163822
0,0.0113265090032528,-0.13010202190811,0.0279183729563867,-0.135096468295067,-0.029054763116124,-0.0760359707418147,-0.557461364936116
0,0.0289743759982754,-0.32437746356478,-0.196801852581898,0.0682728605949977,-0.272749585709366,0.00999344835996266,-0.579927664335168
0,0.0248108590680951,-0.309182778730396,-0.225607499599418,0.104414680787935,-0.18369700123223,0.0192521448092326,-0.670435767718564
0,-0.000224795473581112,-0.177440476552032,-0.158891012773266,-0.197908915046206,-0.244282156872261,0.0819352871516147,-0.387054101211536
0,0.0916043175089712,-0.134667030910874,-0.255607076835163,-0.131616532147149,-0.00721795187133045,0.113238611870519,-0.368375186352629
0,0.035591665021467,-0.135560386364051,-0.11513967996295,-0.0427488266209581,-0.12526554613401,0.0617417644215485,-0.334266195589749
0,0.0363448193623043,-0.104154863252829,-0.109991466816806,-0.0762428690867882,0.0502622113569942,0.0358969577625421,-0.276128658972553
0,0.0522161063799133,-0.0846188854005967,0.0232464473601285,-0.0523197463489537,-0.0155088103112244,0.00541120080340784,-0.223556890729613
0,0.00281097017819909,-0.141774192131795,-0.0643544210155135,-0.0790799558548555,0.0362031503920124,-0.0267340475188793,-0.254285934140081
0,-0.00870028399692945,-0.187155638443456,-0.16122074516433,-0.00722878078077145,-0.0305893175435431,-0.0300057091936978,-0.194121601131466
0,0.0240208894303165,-0.248154372587,-0.15988724915284,0.0154949289992183,-0.0807162709595969,-0.0252450591727167,-0.168350197518505
0,0.072926394676322,-0.324505742310132,-0.246506611891011,-0.0705101543508482,-0.292637518421813,0.0376235775606096,-0.216976609818879
0,0.0512936158428997,-0.256958303605166,-0.236564040454448,-0.0758544624898515,-0.319475743982546,0.0143874610895269,-0.23058508823923
0,0.0443080797386707,-0.209050162798229,-0.191868230132643,-0.111697160567216,-0.0828332182149737,0.0112289283580554,-0.164243175163797
0,0.114325257494479,-0.198640310473143,-0.223661836714045,-0.079777568262137,-0.0969275571781766,-0.0359112784871339,-0.285753566537574
