"Placebo/Control","Apixaban","Aspirin","Aspirin+Clopidogtrel","Dabigatran 110mg","Dabigatran 150mg","Rivaroxaban","VKAs"
0,-1.07041592600648,-0.208135581604941,-0.543967927616093,-1.02725653660432,-1.27589025709824,-0.891906501813035,-0.748869913258152
0,-0.929449415108636,-0.293357156272501,-0.32169484558747,-0.866908292084607,-0.936592030562085,-0.735756119746054,-0.795435917884347
0,-1.37569718662873,-0.337023258013954,-0.314451312064988,-0.706021086551041,-1.65281316208273,-0.981260139163329,-0.888736616497258
0,-1.0412186251102,-0.331712941863314,-0.291748339703349,-0.882740529633663,-1.1985437369479,-0.961417219406084,-0.847332689714398
0,-1.01132672502581,-0.227866371324189,-0.73969250506881,-0.686876718070278,-1.14148525155521,-0.986669611623113,-0.894793184751368
0,-1.21518306060668,-0.147619039918048,-0.371534973126222,-0.628945217134205,-0.854785117017253,-1.17267937833315,-0.666027726606569
0,-0.941249394228473,-0.241396554964257,-0.713585943261533,-0.655858020164833,-0.774081757210893,-0.746385607817323,-0.712571475764672
0,-0.954438628662738,-0.231262264591764,-0.624605781066788,-0.500493544470908,-0.801769085135598,-1.08561371509797,-0.782556964082086
0,-0.925567579981062,-0.283774768746821,-0.632005619124047,-0.236457193993945,-0.792590003092255,-0.994077714776402,-0.693740427987283
0,-0.983500119321406,-0.328264572056209,-0.454930496687475,-0.910139284743555,-1.20942790118792,-0.62278781640189,-0.678653538416686
0,-0.898142415632654,-0.143295736314931,-0.474067404491929,-0.405218272414811,-0.862905377264284,-1.14889867866114,-0.708311566840756
0,-0.894286346406963,-0.298772008618669,-0.445567178012673,-0.921373431480123,-1.24534209147633,-1.06995348290877,-0.818019378080649
0,-1.00466100143446,-0.376274009469716,-0.239094894453692,-1.06710175645431,-1.12323470706824,-1.12146222089164,-0.878860284150193
0,-1.06067352767883,-0.325702103518869,-0.364958292114923,-0.824580770352077,-1.16255686627884,-1.49527149409032,-0.999611552486621
0,-1.00018978511968,-0.372238578267418,-0.528744280576499,-0.966828253303056,-0.821064227796896,-1.26799909775371,-0.95022686648792
0,-0.656465516271605,-0.199215082853978,-0.0219925034547515,-1.09985630869649,-1.81352552182599,-0.190907501326621,-0.909170804160497
0,-0.826420527094744,-0.00535093806124536,0.0857465527819974,-0.781888123200218,-1.22136423922682,-1.2104243208485,-0.749179253459106
0,-0.637268473935305,-0.0432799005785027,-0.0380228527139746,-1.45180952919809,-1.00148236966986,-1.32664597216952,-0.94006502779101
0,-0.641201683963516,-0.177812568917569,-0.240345832194647,-1.56457758677856,-1.71255007033694,-0.754836967089884,-0.834077728124807
0,-1.27644870058257,-0.761495987284781,-0.722593146167927,-1.80336400876597,-1.66076540688929,-1.14941095540933,-1.28987554670621
0,-1.39923406988111,-0.465703841174796,-0.789557214551137,-0.995961020389392,-1.57824249066474,-1.26430485318061,-1.30605395898933
0,-0.731210144662711,-0.198100967921947,-1.03224757291537,-1.49953796274969,-0.859543020780816,-1.75785752886395,-0.920326198478469
0,-0.896267970215703,-0.301642753272725,-0.495121063581301,-2.14066936120691,-2.69342459634031,-1.93047216846475,-1.15730107138767
0,-0.922375440867379,-0.578191373800437,-0.334117173806034,-2.43276084383972,-2.33995918325325,-2.21087803513045,-1.43669722803784
0,-0.487286105374917,-0.194289210570846,-0.103190859648342,-0.859806967792205,-1.46200058984083,-0.631743364235297,-0.690027119368606
0,-1.93608122419068,-0.414616798839909,-0.915900065134389,-0.157687540557981,-0.54960114703795,-2.22733499162879,-0.770055369469443
0,-0.989865464535381,-0.339862437112017,-0.594343282007014,-0.509959937379775,-1.09586015621646,-0.79277592105366,-0.892700522701919
