"plac","ICS","LABA","LABA-ICS","TIO-HH","TIO-SMI"
0,0.0713843202204139,-0.0826435893333099,-0.165493431764593,-0.149288176810984,0.325542477181516
0,0.02152944298196,-0.129538705926604,-0.249731264688562,-0.0431746609295716,0.178567245026193
0,-0.0320365328583362,-0.0825411636067145,-0.244213106404651,-0.287060298447681,0.431352274495936
0,-0.0105115911521768,-0.0684106911841043,-0.278225663658107,0.0448830822072371,0.485824938055095
0,0.0102720036508284,-0.126929200275331,-0.0887474877163346,-0.0417127478075076,0.300200178495535
0,0.139446625476859,-0.278272107640941,-0.0504510344201297,-0.0816460938291607,0.5559842584521
0,-0.0377663994387172,-0.137503808589287,-0.250525692287127,-0.131413493311005,0.670274704753521
0,0.0149462771026698,-0.112915761345159,-0.175257497588701,-0.189839352039302,0.72567026769877
0,0.0324795011845182,-0.0583439136161586,-0.208017590307705,-0.0243258567618899,0.15920047613937
0,0.0332980673222748,-0.194764268395683,-0.057535767675317,-0.0631141517400127,0.19849623670258
0,-0.0150558129630386,-0.106322411297366,-0.303995789190218,-0.171952228605763,0.498323091133273
0,0.0559167915941288,-0.134109276983541,-0.217324270537483,-0.063776574700392,0.657883696601427
0,0.0773885851869416,0.0193193426426522,-0.324638563267717,-0.134406998153054,0.271040911687294
0,-0.0394289552541307,-0.00141448079685261,-0.143678740245654,-0.128588982948252,0.55836893759113
0,-0.0706689687190519,-0.19572309201906,-0.16064271684438,-0.0457954898894893,0.648977871197824
0,0.145305600229087,-0.169867286144648,-0.223285673211671,-0.150935979543168,0.259575876526666
0,0.0943437316968521,-0.0461921242165174,-0.413092776338787,0.0186007828888579,0.531164235543359
0,0.0115268579304104,-0.261826085111934,-0.313469496082467,-0.020394511706581,0.552280555900499
0,-0.0245962139584943,-0.0720578346134617,-0.0653418591914934,-0.0797958770617093,0.634248668653497
0,-0.050633841681497,0.0652956566721283,-0.270313820582494,-0.0737081574123361,0.263045864654034
0,0.0168578969736259,-0.0281639253009921,-0.18820351847174,0.00225479199837031,0.448636157002964
0,0.00452578426509978,-0.0649988260316325,-0.392151023034079,-0.0419314109169366,0.937515286328961
0,-0.119730717714817,-0.0637143448351006,-0.202327540353705,-0.131552833600623,0.238664446993999
0,0.0407156440141439,-0.176685789974983,-0.138483551136284,-0.157329727187952,0.256640235789015
