"Placebo","Bromocriptine","Cabergoline","Pramipexole","Ropinirole"
0,-0.0762297638088327,-0.0353018214287166,-1.43582849447932,0.101574021108205
0,0.103366728267566,0.0179574059907682,-1.55649746633902,-0.111123455272744
0,-0.604426581594319,-0.654090938170663,-1.59255939132505,-0.695453657776424
0,-0.643359951394191,-1.23308361501961,-2.02072109594824,-0.166259793266872
0,-0.665994826392108,-1.15067226434692,-2.22417303326349,-0.304178056528298
0,-0.398313770776704,-1.04003030638623,-1.92706972851565,-0.319971263741041
0,-0.839917957691781,-1.28858834279239,-1.95829043272377,-0.61310640067825
0,-0.849854762389572,-1.32362410337852,-1.35784985537986,-0.692182115950267
0,-0.760999485910065,-0.392296479416134,-2.17970453223891,-1.05824815720924
0,-0.847894673642897,-0.807959285958487,-1.72586125585213,-1.5403821451024
0,-0.462659579993481,-0.835619664674748,-1.42383021971729,-1.36614280729606
0,-0.232061146178241,-0.658169583641272,-1.42339599698122,-0.553505148368204
0,-0.399447970421923,-0.814229082074647,-1.22053504643274,-0.460238137093794
0,-0.568587498937507,-0.744712691249158,-1.95637928134627,-0.293296593632103
0,-0.65974107456809,-0.909686515679334,-1.5662142571569,-0.514221600806918
0,-1.00887068103001,-1.24829052192956,-1.8528631035135,-0.657720115547997
0,-0.775176919088041,-1.10746090527366,-1.6733874627777,-0.413270854841921
0,-0.954903845530196,-1.16222150585208,-1.79927505910586,-1.14111010400494
0,-0.746410204676917,-1.08800966307291,-1.77769825738238,-0.691531277479025
0,-0.679255995371989,-0.715316161074958,-1.71418561781823,-0.406603389988663
0,-0.607154617990049,-0.504573012214112,-1.55719537392601,-0.457083486029518
0,-0.108151764264972,-0.389525684316899,-1.83631321872704,-0.216506870359852
0,-0.0884059690635117,-0.281123447419528,-1.88742282888161,-0.157993263255287
0,-0.85148101188978,-0.683367780577545,-1.22424542597486,-0.00847517339923855
0,-0.664532359065365,-1.11191614541181,-1.86812134845031,-0.296649918292174
0,-0.794149562857284,-1.26853612954672,-1.23654145639923,-0.24488898832434
0,-0.92100224801329,-1.31630794054968,-2.02653543064017,-0.74419467471373
0,-0.786954331866128,-0.989426966757355,-2.49431382263224,-0.805516457739154
0,-0.441459847601084,-0.731801843242547,-2.64174588921763,-0.699842088974247
0,-0.715461756785601,-0.778407365257763,-1.75255623980344,-0.359825645744623
0,-0.882050618324729,-0.988872297940798,-1.89106147244713,-0.732163806049596
0,-1.27823313459505,-1.30366212292046,-2.29041217868526,-0.717257913001048
0,-1.32089815268675,-2.09441350469242,-2.49941708123071,-0.843955181557576
