"Placebo","Budesonide","Budesonide+Formoterol","Fluticasone","Fluticasone+Salmeterol","Formoterol","Salmeterol","Tiotropium"
0,-0.406089517029779,-0.505211537438677,-0.149749030189898,-0.319865902231654,-0.0232273496022161,-0.294887409451015,-0.463787152475933
0,-0.404904879890654,-0.5112514118081,-0.146431322889906,-0.320987421832252,-0.0212845224128556,-0.294290471753088,-0.461513380626494
0,-0.396023436695522,-0.515937121269895,-0.147522483295472,-0.317960518478799,-0.0229391441962306,-0.293817357237798,-0.455493302740708
0,-0.38802176126106,-0.521177923382,-0.148841250939333,-0.312705408776137,-0.0114144013305054,-0.292135210611957,-0.453363413613624
0,-0.389605068728369,-0.518793048403743,-0.145627646417169,-0.308676733201476,-0.0060364774711646,-0.288860863231868,-0.457433734473369
0,-0.387572490345069,-0.525051863362067,-0.142670963659139,-0.305510032694745,-0.012125033281892,-0.288585294708179,-0.463414635415909
0,-0.383860199905451,-0.518205046278382,-0.143022265212714,-0.303590477194762,-0.0140871859408412,-0.288034177477645,-0.462322431895507
0,-0.39465643017677,-0.508312225006968,-0.138933993276727,-0.302979108875053,-0.0168068065317458,-0.282150700755871,-0.468518662931583
0,-0.38790951952809,-0.501875452921139,-0.146592389201853,-0.305005442776606,-0.0202941917113127,-0.27896455633691,-0.469620371787466
0,-0.37726499124251,-0.496648092410274,-0.148810436382542,-0.304131290679103,-0.0208128832860603,-0.277731350100769,-0.464924472873943
0,-0.383900587858746,-0.493664680888751,-0.153194875431939,-0.303698532562533,-0.0233831980974199,-0.279781830282946,-0.46276640243656
0,-0.39209187884329,-0.500256850721714,-0.16108166759265,-0.299685321176094,-0.0237631805448854,-0.276770397697954,-0.466753776662256
0,-0.388045398730052,-0.501586181118696,-0.161450279713714,-0.294956234341318,-0.027631552814818,-0.276848570583324,-0.469452427237362
0,-0.381790647444657,-0.504366922104411,-0.161758407117155,-0.295365071390921,-0.03007790504165,-0.279611426635051,-0.470816123473432
0,-0.377952568558004,-0.499758823971538,-0.159265475671252,-0.295754325845588,-0.0272626115981463,-0.279708804300772,-0.469587757857693
